Hora (UTC-03:00),Clics,Impresiones,CTR,Posición
2026-02-02T17:00:00,0,12,0%,5.2
2026-02-02T18:00:00,1,10,10%,18.2
2026-02-02T19:00:00,0,4,0%,7.8
2026-02-02T20:00:00,0,6,0%,4.2
2026-02-02T21:00:00,2,5,40%,6.4
2026-02-02T22:00:00,1,8,12.5%,6.5
2026-02-02T23:00:00,0,7,0%,6
2026-02-03T00:00:00,0,1,0%,11
2026-02-03T01:00:00,0,1,0%,6
2026-02-03T02:00:00,0,1,0%,10
2026-02-03T03:00:00,0,0,0%,0
2026-02-03T04:00:00,0,0,0%,0
2026-02-03T05:00:00,0,0,0%,0
2026-02-03T06:00:00,0,0,0%,0
2026-02-03T07:00:00,0,1,0%,15
2026-02-03T08:00:00,0,0,0%,0
2026-02-03T09:00:00,0,4,0%,5.2
2026-02-03T10:00:00,0,4,0%,4
2026-02-03T11:00:00,1,5,20%,4.6
2026-02-03T12:00:00,0,5,0%,4
2026-02-03T13:00:00,0,4,0%,5
2026-02-03T14:00:00,0,3,0%,3
2026-02-03T15:00:00,0,0,0%,0
2026-02-03T16:00:00,0,0,0%,0
