País,Clics,Impresiones,CTR,Posición
Perú,2,15,13.33%,5.6
España,2,12,16.67%,7.08
Chile,1,9,11.11%,7.67
Colombia,1,7,14.29%,8.43
República Dominicana,1,5,20%,4
Italia,1,4,25%,1.75
Canadá,1,4,25%,3.5
Bolivia,1,4,25%,7.25
Venezuela,1,3,33.33%,4.67
Estados Unidos,0,21,0%,5.33
México,0,12,0%,2.5
Panamá,0,8,0%,5.75
Argentina,0,4,0%,5.75
Guatemala,0,2,0%,2.5
Francia,0,2,0%,4
Reino Unido,0,2,0%,5
Paraguay,0,2,0%,5.5
Suiza,0,2,0%,9.5
Brasil,0,1,0%,1
Marruecos,0,1,0%,1
Costa Rica,0,1,0%,2
Ecuador,0,1,0%,2
Nicaragua,0,1,0%,2
